/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
23354978	Rinella	23354978	GRASP 2.0		25		Breast cancer risk in Ashkenazi Jewish women without BRCA1/2 mutations	Cancer;Breast cancer;Gender;Female	1/25/13	y	Hum Genet	Genetic variants associated with breast cancer risk for Ashkenazi Jewish women with strong family histories but no identifiable BRCA1/2 mutation.		y	y	"477 Ashkenazi Jewish cases, 524 Ashkenazi Jewish controls"	"203 Ashkenazi Jewish cases, 263 Ashkenazi Jewish contols"	"Affymetrix [435,632]"	European	1467	1001	1001												466	466																					
23358156	Benyamin	23358156	GRASP 2.0		100		Cognition (childhood intelligence)	Neuro;Cognition;Behavioral;Developmental	1/29/13	y	Mol Psychiatry	"Childhood intelligence is heritable, highly polygenic and associated with FNBP1L."		n	n	"12,441 European ancestry children"	"5,548 European ancestry children"	"Illumina & Affymetrix [138,093] (imputed)"	European	17989	12441	12441												5548	5548																					
23358160	Borglum	23358160	GRASP 2.0		98		Schizophrenia	Neuro;Behavioral;Schizophrenia	1/29/13	y	Mol Psychiatry	Genome-wide study of association and interaction with maternal cytomegalovirus infection suggests new schizophrenia loci.		n	n	"888 European ancestry cases, 882 European ancestry controls"	"2539 European ancestry cases, 5486 European ancestry controls"	"Illumina [541,148]"	European	9795	1770	1770												8025	8025																					
23359319	Jin	23359319	GRASP 2.0		36		"Prostate-specific antigen (free-to-total, %fPSA), in serum"	Quantitative trait(s);Blood-related;Cancer-related;Prostate cancer;Gender;Male;Serum	1/13/14	y	Neoplasia	Genome-wide association study identifies loci at ATF7IP and KLK2 associated with percentage of circulating free PSA.		y	y	"3,192 European ancestry individuals"	"1,722 European ancestry individuals"	"Illumina [642,584]"	European	4914	3192	3192												1722	1722																					
23362303	Wu	23362303	GRASP 2.0		585		"Fatty acid levels, in plasma"	Quantitative trait(s);Blood-related;Plasma	1/29/13	y	Circ Cardiovasc Genet	Genome-wide association study identifies novel loci associated with concentrations of four plasma phospholipid fatty acids in the de novo lipogenesis pathway: results from the Cohorts for Heart and Aging Research in Genomic Epidemiology (CHARGE) consortium.		n	n	"8,961 European ancestry individuals"	NR	Affymetrix & Illumina [~2.5 million] (imputed)	European	8961	8961	8961																																		
23364009	Yang	23364009	GRASP 2.0		11		Alcohol consumption	Quantitative trait(s);Neuro;Addiction;Alcohol	1/30/13	y	Am J Clin Nutr	Common variants at 12q24 are associated with drinking behavior in Han Chinese.		n	n	"1,420 Han Chinese ancestry cases, 3,590 Han Chinese ancestry controls"	"4,896 Han Chinese ancestry cases, 13,293 Han Chinese ancestry controls"	Affymetrix [~2.2 million] (imputed)	Asian	23199	5010			5010										18189			18189																			
23364394	Lee	23364394	GRASP 2.0		90		Coronary artery disease	Cardiovascular disease (CVD);Myocardial infarction (MI)	1/31/13	y	J Hum Genet	A genome-wide association study of a coronary artery disease risk variant.		n	n	"2,123 Korean ancestry cases; 3,591 Korean ancestry controls"	"3,052 Japanese ancestry cases; 4,976 Japanese ancestry controls"	"Affymetrix [521,786] "	Asian	13742	5714			5714										8028			8028																			
23371916	Dai	23371916	GRASP 2.0		199		Bilirubin levels	Quantitative trait(s);Blood-related;Hepatic;Serum	1/31/13	y	Genet Epidemiol	A genome-wide association study for serum bilirubin levels and gene-environment interaction in a Chinese population.		n	n	"1,452 Han Chinese ancestry individuals"	"8,830 Han Chinese ancestry individuals"	"Affymetrix [658,288] (imputed)"	Asian	10282	1452			1452										8830			8830																			
23372041	Chu	23372041	GRASP 2.0		27		Macronutrient intake	Diet-related	1/30/13	y	Hum Mol Genet	Novel locus including FGF21 is associated with dietary macronutrient intake.		n	n	"33,533 European ancestry individuuals"	"38,360 European ancestry individuuals"	Illumina and Affymetrix [~2.6 million] (imputed)	European	71893	33533	33533												38360	38360																					
23372042	Lane	23372042	GRASP 2.0	1	0		HIV-1 resistance in highly exposed individuals with hemophilia A	Infection;HIV/AIDS;Blood-related;Hemophilia;Bleeding disorder	2/10/13	y	Hum Mol Genet	A genome-wide association study of resistance to HIV infection in highly exposed uninfected individuals with hemophilia A.		n	n	"430 exposed uninfected Haemophilia cases, 765 HIV positive controls"	NR	"Illumina [1,081,435] (imputed)"	Mixed	1195	1195									1195																										
23372753	Euler	23372753	GRASP 2.0		11		HIV-1 infection (development of cross-reacting neutralizing antibodies)	Infection;HIV/AIDS;Blood-related	1/23/13	n	PLoS One	Genome-wide association study on the development of cross-reactive neutralizing antibodies in HIV-1 infected individuals.		n	n	292 individuals	NR	"Illumina [296,446]"	European	292	292	292																																		
23374588	Martinelli-Boneschi	23374588	GRASP 2.0		49		Response to cholinesterase inhibitors in Alzheimer's disease	Drug response;Neuro;Alzheimer's disease	1/29/13	y	Neurobiol Aging	Pharmacogenomics in Alzheimer's disease: a genome-wide association study of response to cholinesterase inhibitors.		n	n	"92 European ancestry cases, 77 European ancestry controls"	"94 European ancestry cases, 74 European ancestry controls"	"Illumina [522,109]"	European	337	169	169												168	168																					
23376709	Kerns	23376709	GRASP 2.0		39		Urinary symptoms following radiotherapy for prostate cancer	Reproductive;Gender;Male;Prostate cancer;Radiation;Treatment response;Adverse drug reaction (ADR);Urinary	1/31/13	y	J Urol	A 2-stage genome-wide association study to identify single nucleotide polymorphisms associated with development of urinary symptoms after radiotherapy for prostate cancer.		y	y	"346 European, African, Hispanic and Asian ancestry individuals"	"377 European, African, Hispanic and Asian ancestry individuals"	"Affymetrix [613,496]"	Mixed	723	346									346				377									377													
23377640	Uher	23377640	GRASP 2.0		416		Antidepressant efficacy in major depressive disorder	Neuro;Depression;Drug response	2/1/13	y	Am J Psychiatry	Common genetic variation and antidepressant efficacy in major depressive disorder: a meta-analysis of three genome-wide pharmacogenetic studies.		n	n	"Up to 2,256 European ancestry cases"	NR	Illumina & Affymetrix [1.2 million] (imputed)	European	2256	2256	2256																																		
23378610	Xie	23378610	GRASP 2.0		7		"Metabolites related insulin sensitivity in non-diabetics, in plasma"	Quantitative trait(s);Blood-related;Plasma	2/1/13	y	Diabetes	Genetic variants associated with glycine metabolism and their role in insulin sensitivity and type 2 diabetes.		n	n	"1,004 European ancestry individuals"	339 European ancestry individuals	"Affymetrix [909,508] (imputed)"	European	1343	1004	1004												339	339																					
23381795	Verweij	23381795	GRASP 2.0		19		"Midregional-proadrenomedullin and C-terminal-pro-endothelin-1, in plasma"	Quantitative trait(s);Blood-related;Plasma	2/4/13	y	Hypertension	Genome-wide association study on plasma levels of midregional-proadrenomedullin and C-terminal-pro-endothelin-1.		n	n	"3,444 Euorpean ancestry individuals"	"3,230 European ancestry individuals"	"Illumina [2,269,099] (imputed)"	European	6674	3444	3444												3230	3230																					
23381943	Williams	23381943	GRASP 2.0		531		Coagulation factors and fibrin factor levels and ischemic stroke	Quantitative trait(s);Blood-related;Cardiovascular disease (CVD);Stroke;Neuro	1/15/13	y	Ann Neurol	Ischemic stroke is associated with the ABO locus: the EuroCLOT study.		n	n	"2,100 European ancestry individuals"	NR	"Illumina [~600,000] (imputed)"	European	2100	2100	2100																																		
23382691	Lauc	23382691	GRASP 2.0		6582	1	N-glycosylation of IgG in plasma	Quantitative trait(s);Blood-related;Plasma;Immune-related	1/31/13	y	PLoS Genet	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.		n	n	"1,848 European ancestry individuals"	NR	Illumina [~2.5 million] (imputed)	European	1848	1848	1848																																		
23382809	Xu	23382809	GRASP 2.0		25		Schizophrenia with negative symptoms	Neuro;Behavioral;Schizophrenia;Cognition	1/29/13	y	PLoS One	BCL9 and C9orf5 are associated with negative symptoms in schizophrenia: meta-analysis of two genome-wide association studies.		n	n	"1,774 European ancestry cases, 2,726 European ancestry controls"	NR	"Affymetrix [729,454]"	European	4500	4500	4500																																		
23388002	Thanassoulis	23388002	GRASP 2.0		247585		Valvular calcification and aortic stenosis	CVD risk factor (CVD RF);Cardiovascular disease (CVD);Arterial;Heart;Valve;Calcium;Subclinical CVD	2/7/13	y	N Engl J Med	Genetic associations with valvular calcification and aortic stenosis.		n	n	"6,942 European ancestry individuals"	"745 European ancestry individuals, 2,497 African American individuals, 2,027 Hispanic individuals, 774 Chinese ancestry individuals"	Affymetrix & Illumina [>2.5 million] (imputed)	Mixed	12985	6942	6942												6043	745	2497	774		2027																	
23392654	Lewis	23392654	GRASP 2.0		32		"Platelet response, antiplatelets and cardiovascular outcomes"	Quantitative trait(s);Blood-related;Platelet;Plasma;Drug response;Type 2 diabetes (T2D);CVD risk factor (CVD RF)	2/7/13	y	Circ Cardiovasc Genet	Genetic variation in PEAR1 is associated with platelet aggregation and cardiovascular outcomes.		n	n	565 Amish individuals	"710 European ancestry individuals, 237 African American/Afro-Caribbean individuals, 276 Hispanic individuals, 4 individuals"	"Affymetrix [400,230]"	Mixed	1792	565	565												1227	710	237			276					4												
23393555	Jensen	23393555	GRASP 2.0		72		Retinopathy (non-diabetic)	Eye-related	2/5/13	y	PLoS One	Genome-wide association study of retinopathy in individuals without diabetes.		n	n	"19,411 European ancestry individuals"	NR	"Illumina [2,675,979] (imputed)"	European	19411	19411	19411																																		
23394302	Pechlivanis	23394302	GRASP 2.0		179		Coronary artery calcification	CVD risk factor (CVD RF);Cardiovascular disease (CVD);Arterial;Calcium;Subclinical CVD	2/8/13	n	BMC Med Genet	Risk loci for coronary artery calcification replicated at 9p21 and 6q24 in thevHeinz Nixdorf Recall Study.		n	n	4518 individials	NR	"Illumina [192,261]"	European	4518	4518	4518																																		
23396134	Verhoeven	23396134	GRASP 2.0		29		Myopia and refractive errors	Eye-related;Developmental	2/10/13	y	Nat Genet	Genome-wide meta-analyses of multiancestry cohorts identify multiple new susceptibility loci for refractive error and myopia.		n	n	"37,382 European ancestry individuals, 578 Han Chinese ancestry individuals, 3,417 Singaporean Chinese ancestry individuals, 2,273 Singaporean Malay ancestry individuals, 2,108 Singaporean Indian ancestry individuals"	NR	Illumina & Affymetrix [2.5 million] (imputed)	Mixed	45758	45758	37382		6268	2108																															
23400010	Del-Aguila	23400010	GRASP 2.0		211		Metabolic response to hydrochlorothiazide	Drug response;Quantitative trait(s);Blood-related;Blood pressure;Lipids;CVD risk factor (CVD RF)	2/12/13	y	Pharmacogenomics J	Genome-wide association analyses suggest NELL1 influences adverse metabolic response to HCTZ in African Americans.		n	n	"425 European ancestry cases, 342 African American cases"	NR	Illumina and Affymetrics [>2 million] (imputed)	Mixed	767	767	425	342																																	
23401653	Guggenheim	23401653	GRASP 2.0		16		Corneal curvature	Quantitative trait(s);Eye-related	1/3/13	y	Mol Vis	A genome-wide association study for corneal curvature identifies the platelet-derived growth factor receptor &#x003b1; gene as a quantitative trait locus for eye size in white Europeans.		n	n	"2,023 European ancestry children"	"2,008 Chinese ancestry adults, 2,281 Malay ancestry adults, 2,142 Indian ancestry adults, 929 Chinese ancestry children"	"Illumina [2,543,887] (imputed)"	Mixed	9383	2023	2023												7360			5218	2142																		
23406172	Milton	23406172	GRASP 2.0		4		Sickle cell anemia (haemolytic anemia)	Blood-related;Sickle cell anemia;Anemia	2/14/13	y	Br J Haematol	Genetic determinants of haemolysis in sickle cell anaemia.		n	n	"1,117 individuals"	"213 African, West African and Afro-Caribbean ancestry individuals, 745 individuals"	"Illumina [569,554]"	Unspecified	2075	1117										1117			958		213								745												
23406873	Shi	23406873	GRASP 2.0		133		Myopia (high myopia)	Eye-related;Developmental	2/28/13	y	Hum Mol Genet	A genome-wide meta-analysis identifies two novel loci associated with high myopia in the Han Chinese population.		n	n	"665 Han Chinese ancestry cases, 960 Han Chinese ancestry controls"	"2,128 Han Chinese ancestry cases, 3,683 Han Chinese ancestry controls"	"Illumina [286,031]"	Asian	7436	1625			1625										5811			5811																			
23408455	Wakai	23408455	GRASP 2.0		12		Confectionary intake	Diet-related	2/14/13	y	Obesity (Silver Spring)	Genome-wide association study of genetic factors related to confectionery intake: potential roles of the ADIPOQ gene.		n	n	939 Japanese ancestry individuals	"4,491 Japanese ancestry individuals"	"Illumina [491,738]"	Asian	5430	939			939										4491			4491																			
23408906	Porcu	23408906	GRASP 2.0		112		Thyroid function	Thyroid	2/7/13	y	PLoS Genet	A meta-analysis of thyroid-related traits reveals novel loci and gender-specific differences in the regulation of thyroid function.		y	n	"Up to 12,289 European ancestry females, Up to 9,019 European ancestry males, Up to 433 Old Order Amish females, Up to 592 Old Order Amish males, 2,170 Sardinian females, 1,917 Sardinian males"	NR	"Illumina, Affymetrix [~2.5 million] (imputed)"	European	26420	26420	26420																																		
23412934	Gourraud	23412934	GRASP 2.0		125		Multiple sclerosis (brain lesion distribution in multiple sclerosis)	Neuro;Inflammation;Multiple sclerosis (MS);Imaging	2/13/13	y	Brain	A genome-wide association study of brain lesion distribution in multiple sclerosis.		n	n	284 European ancestry individuals	NR	"Illumina [208,975]"	European	284	284	284																																		
23417110	Tin	23417110	GRASP 2.0		28		"Beta-2 microglobulin, in plasma"	Quantitative trait(s);Blood-related;Plasma	2/16/13	y	Hum Genet	Genome-wide association study identified the human leukocyte antigen region as a novel locus for plasma beta-2 microglobulin.		n	n	"6,728 European ancestry individuals"	NR	Affymetrix [2.5 million] (imputed)	European	6728	6728	6728																																		
23419831	Ramanan	23419831	GRASP 2.0		12		Brain A_ levels	Neuro;Alzheimer's disease;Quantitative trait(s);Imaging	2/19/13	y	Mol Psychiatry	APOE and BCHE as modulators of cerebral amyloid deposition: a florbetapir PET genome-wide association study.		n	n	555 European ancestry individuals	NR	"Illumina [6,108,668] (imputed)"	European	555	555	555																																		
23420232	Duggal	23420232	GRASP 2.0		9		Spontaneous resolution of hepatitis C virus	Infection;Hepatitis;Hepatic	2/19/13	y	Ann Intern Med	Genome-wide association study of spontaneous resolution of hepatitis C virus infection: data from multiple cohorts.		n	n	"1,482 chronic HCV patients, 919 spontaneously cleared HCV patients"	"461 chronic HCV patients, 284 spontaneously cleared HCV patients"	"Illumina [792,721] (imputed)"	Mixed	3146	2401	1581	447							373				745	292	284							169													
23422394	Hamidovic	23422394	GRASP 2.0		3		Alcohol consumption (heavy)	Quantitative trait(s);Neuro;Addiction;Alcohol	4/1/13	n	J Clin Psychopharmacol	Genetic analysis of a population heavy drinking phenotype identifies risk variants in whites.		n	n	1255 cases and 2514 controls	NR	"Illumina & imputed [~270,000]"	European	3769	3769	3769																																		
23422753	Flanagan	23422753	GRASP 2.0		37		Stroke in sickle cell anemia patients	Cardiovascular disease (CVD);Neuro;Stroke;Blood-related;Sickle cell anemia;Anemia	2/19/13	n	Blood	Genetic mapping and exome sequencing identify 2 mutations associated with stroke protection in pediatric patients with sickle cell anemia.		n	n	177 cases and 335 controls	NR	"Affymetrix [772,065]"	Unspecified	512	512										512																									
23423138	Ludwig	23423138	GRASP 2.0		11		Dyslexia (and mathematical ability)	Neuro;Cognition;Developmental	2/19/13	y	Transl Psychiatry	A common variant in myosin-18B contributes to mathematical abilities in children with dyslexia and intraparietal sulcus variability in adults.		n	n	200 European ancestry cases	510 European ancestry cases	"Illumina [~300,000]"	European	710	200	200												510	510																					
23423446	Hein	23423446	GRASP 2.0		5		Breast cancer risk related to menopausal hormone therapy	Cancer;Breast cancer;Gender;Female;Menopause;Drug response	2/20/13	y	Breast Cancer Res Treat	A genome-wide association study to identify genetic susceptibility loci that modify ductal and lobular postmenopausal breast cancer risk associated with menopausal hormone therapy use: a two-stage design with replication.		y	y	731 European ancestry cases	"7,965 European and East Asian ancestry cases, 8,128 European and East Asian ancestry controls"	"Illumina [316,974]"	Mixed	16824	731	731												16093									16093													
23424626	Spencer	23424626	GRASP 2.0		137		Age at menarche and age at natural menopause	Developmental;Aging;Reproductive;Gender;Female;Menarche;Menopause	2/12/13	n	PLoS One	Genetic variation and reproductive timing: African American women from the Population Architecture using Genomics and Epidemiology (PAGE) Study.		y	y	4159 African-Amer women (Menarche); 1860 African-Amer women (Menopause)	NR	"Illumina [161,098]"	African	6019	6019		6019																																	
23432519	O'Brien	23432519	GRASP 2.0		13		Recipient kidney allograft function	Renal;Treatment response;Surgery;Chronic kidney disease	2/21/13	y	Clin Transplant	A genome-wide association study of recipient genotype and medium-term kidney allograft function.		n	n	263 European ancestry individuals	NR	"Illumina [511,662]"	European	263	263	263																																		
23436924	Ochs-Balcom	23436924	GRASP 2.0		13		Bone mineral density and fat mass	Quantitative trait(s);Adipose-related;Bone-related;Aging	2/22/13	n	J Clin Endocrinol Metab	Association of DXA-derived bone mineral density and fat mass with African ancestry.		y	y	802 African-American women	NR	"Affymetrix & imputed [2,190,779]"	African	802	802		802																																	
23437003	Paternoster	23437003	GRASP 2.0		173		"Trabecular and cortical volumetric BMD, bone microstructure"	Quantitative trait(s);Bone-related;Aging	2/21/13	y	PLoS Genet	Genetic determinants of trabecular and cortical volumetric bone mineral densities and bone microstructure.		n	n	"Up to 5,878 European ancestry individuals"	"Up to 1,052 European ancestry individuals"	"Illumina [2,401,124] (imputed)"	European	3930	2878	2878												1052	1052																					
23446634	Chen	23446634	GRASP 2.0		86		"Blood cell traits, in red blood cells"	Quantitative trait(s);Blood-related	3/3/13	y	Hum Mol Genet	Genome-wide association analysis of red blood cell traits in African Americans: the COGENT Network.		n	n	"Up to 16,485 African American individuals"	"9,692 African American individuals, 21,020 European ancestry individuals, 14,088 Japanese ancestry individuals"	Affymetrix & Illumina [~2.2 million] (imputed)	Mixed	61285	16485		16485											44800	21020	9692	14088																			
23449627	Cousminer	23449627	GRASP 2.0		74		Height (pubertal growth)	Quantitative trait(s);Height;Developmental;Anthropometric	2/27/13	y	Hum Mol Genet	"Genome-wide association and longitudinal analyses reveal genetic loci linking pubertal height growth, pubertal timing and childhood adiposity."		y	n	"7,161 European ancestry males, 6,879 European ancestry females"	"5,133 European ancestry males, 4,577 European ancestry females"	Illumina & Affymetrix [~2.5 million] (imputed)	European	23750	14040	14040												9710	9710																					
23449693	Meyer	23449693	GRASP 2.0		2		Acute respiratory distress syndrome	Pulmonary;Inflammation;Mortality	2/28/13	n	Am J Respir Crit Care Med	IL1RN coding variant is associated with lower risk of acute respiratory distress syndrome and increased plasma IL-1 receptor antagonist.		n	n	74 EA cases and 150 EA controls	1167 EA cases and 1674 controls	"Illumina [45,448]"	European	3065	224	224												2841	2841																					
23453885	Smoller	23453885	GRASP 2.0		100		"Psychiatric disorders (Autism, ADHD, Bipolar disorder, Schizophrenia, Depression)"	Neuro;Behavioral;Depression;Bipolar disorder;Schizophrenia;Autism;Attention-deficit/hyperactivity disorder (ADHD)	2/27/13	y	Lancet	Identification of risk loci with shared effects on five major psychiatric disorders: a genome-wide analysis.		n	n	"6,990 European ancestry Bipolar disorder cases, 9,227 European ancestry Major depressive disorder cases, 9,379 European ancestry Schizophrenia cases, 161 European ancestry Autism spectrum disorder cases, 4,788 European ancestry Autism spectrum disorder trio cases, 840 European ancestry Attention deficit-hyperactivity disorder cases, 1,947 European ancestry Attention defcit-hyperactivity disorder trio cases, 27,888 European ancestry controls"	NR	"Illumina & Affymetrix [1,252,901] (imputed)"	European	61220	61220	61220																																		
23454411	Lin	23454411	GRASP 2.0		5		Kawasaki disease	Inflammation;Blood-related;Aneurysm;Arterial;Cardiovascular disease (CVD);Immune-related	2/27/13	y	Transl Res	A genome-wide association analysis identifies novel susceptibility loci for coronary arterial lesions in patients with Kawasaki disease.		n	n	"64 East Asian ancestry serious cases, 70 East Asian ancestry minor cases"	"117 East Asian ancestry serious cases, 128 East Asian ancestry minor cases"	"Affymetrix [470,949]"	Asian	379	134			134										245			245																			
23455491	Luo	23455491	GRASP 2.0		126		Alcohol dependence	Quantitative trait(s);Neuro;Addiction;Alcohol	2/27/13	y	Drug Alcohol Depend	"NKAIN1-SERINC2 is a functional, replicable and genome-wide significant risk gene region specific for alcohol dependence in subjects of European descent."		n	n	"1,409 European ancestry cases, 1,518 European ancestry controls"	"6,438 European ancestry individuals from 1,645 affected families"	"Illumina [805,814]"	European	9365	2927	2927												6438	6438																					
23455636	Fritsche	23455636	GRASP 2.0		377457		Age-related macular degeneration	Eye-related;Aging;Age-related macular degeneration (ARMD)	3/3/13	y	Nat Genet	Seven new loci associated with age-related macular degeneration.		n	n	"6,713 European ancestry cases, 48,402 European ancestry contols, 110 Southern Indian ancestry cases, 119 Southern Indian ancestry controls, 827 Japanese ancestry cases, 3,323 Japanese ancestry controls"	"9,070 European ancestry cases, 7,683 European ancestry contols, 461 East Asian ancestry cases, 547 East Asian ancestry controls"	"Illumina & Affymetrix [2,442,884] (imputed)"	Mixed	77255	59494	55115		4150	229									17761	16753		1008																			
23455637	Iles	23455637	GRASP 2.0		2		Skin cancer (melanoma)	Cancer;Skin cancer;Skin-related;Melanoma	3/3/13	y	Nat Genet	A variant in FTO shows association with melanoma risk not due to BMI.		n	n	"1,353 European ancestry cases, 3,566 European ancestry controls"	"12,313 European ancestry cases, Up to 55,667 European ancestry controls"	Illumina [2.6 million] (imputed)	European	72899	4919	4919												67980	67980																					
23456168	Hao	23456168	GRASP 2.0		51		Height	Quantitative trait(s);Height;Anthropometric	3/3/13	y	Hum Genet	Genome-wide association study in Han Chinese identifies three novel loci for human height.		n	n	"6,534 Han Chinese ancestry individuals"	"1,881 Han Chinese ancestry individuals from 637 families"	"Affymetrix [1,532,051] (imputed)"	Asian	8415	6534			6534										1881			1881																			
23459209	Faraco	23459209	GRASP 2.0		57		Narcolepsy	Neuro;Sleep	2/14/13	n	PLoS Genet	ImmunoChip study implicates antigen presentation to T cells in narcolepsy.		n	n	1886 cases and 10421 controls	NR	"Illumina & imputed [111,240]"	European	12307	12307	12307																																		
23459936	Divaris	23459936	GRASP 2.0		18		Periodontitis (chronic periodontitis)	Inflammation;Bone-related;Oral-related;Dental	3/4/13	y	Hum Mol Genet	Exploring the genetic basis of chronic periodontitis: a genome-wide association study.		n	n	"4,504 European ancestry individuals"	656 European ancestry and African American individuals	"Affymetrix [2,135,236] (imputed)"	Mixed	5160	4504	4504												656									656													
23463857	Ritchie	23463857	GRASP 2.0		158		"ECG (Electrocardiogram measurements), QRS duration"	Quantitative trait(s);Heart	3/5/13	y	Circulation	Genome- and phenome-wide analyses of cardiac conduction identifies markers of arrhythmia risk.		n	n	"5,272 European ancestry indiviudals"	"40,407 European ancestry individuals"	"Illumina [528,508]"	European	45679	5272	5272												40407	40407																					
23467860	Pare	23467860	GRASP 2.0		33		Dabigatran plasma levels	Drug response;Cardiovascular disease (CVD);Atrial fibrillation;Heart	3/6/13	y	Circulation	Genetic determinants of dabigatran plasma levels and their relation to bleeding.		n	n	"1,490 European ancestry atrial fibrillation patients at risk of stroke"	"204 European ancestry atrial fibrillation patients at risk of stroke, 66 Latin American ancestry atrial fibrillation patients at risk of stroke, 1 Arab ancestry atrial fibrillation patient at risk of stroke, 5 Black African atrial fibrillation patients at risk of stroke, 21 Chinese ancestry atrial fibrillation patients at risk of stroke, 1 Colored African atrial fibrillation patient at risk of stroke, 4 Japanese ancestry atrial fibrillation patients at risk of stroke, 9 South Asian ancestry atrial fibrillation patients at risk of stroke, 15 other Asian ancestry atrial fibrillation patients at risk of stroke and 134 atrial fibrillation patients at risk of stroke"	"Illumina [551,203]"	Mixed	1950	1490	1490												460	204	6	49		66			1		134												
23468642	Kiefer	23468642	GRASP 2.0		6160		Myopia	Eye-related;Developmental	2/28/13	n	PLoS Genet	"Genome-wide analysis points to roles for extracellular matrix remodeling, the visual cycle, and neuronal development in myopia."		n	n	45771 individuals	8323 individuals	"Illumina & imputed [7.087,609]"	European	54094	45771	45771												8323	8323																					
23468962	Song	23468962	GRASP 2.0		29		Breast cancer	Cancer;Breast cancer;Gender;Female	2/28/13	y	PLoS One	A genome-wide scan for breast cancer risk haplotypes among African American women.		y	y	"3,016 African American cases; 2,745 African American controls"	NR	"Illumina [1,006,480]"	African	5761	5761		5761																																	
23470693	Zeng	23470693	GRASP 2.0		187		Pit-and-fissure- and smooth-surface carries	Dental;Developmental;Bone-related;Oral-related	3/7/13	y	J Dent Res	Genome-wide association studies of pit-and-fissure- and smooth-surface caries in permanent dentition.		n	n	996 European ancestry individuals	NR	Illumina [1.2 million] (imputed)	European	996	996	996																																		
23471985	Jahanshad	23471985	GRASP 2.0		23		Brain neural connectivity	Neuro;Cognition;Aging;Imaging;Quantitative trait(s)	3/19/13	y	Proc Natl Acad Sci U S A	Genome-wide scan of healthy human connectome discovers SPON1 gene variant influencing dementia severity.		n	n	331 European ancestry individuals	NR	"Illumina [428,287]"	European	331	331	331																																		
23472165	Albertsen	23472165	GRASP 2.0		2232		Endometriosis	Reproductive;Gender;Female	3/5/13	y	PLoS One	Genome-wide association study link novel loci to endometriosis.		y	y	"1,514 European ancestry casses, 12,660 European ancestry controls"	"505 European ancestry cases, 1,811 European ancestry controls"	"Illumina [580,699]"	European	16490	14174	14174												2316	2316																					
23472185	Mero	23472185	GRASP 2.0		62		Multiple sclerosis (oligoclonal bands in multiple sclerosis)	Neuro;Inflammation;Multiple sclerosis (MS)	3/5/13	y	PLoS One	Oligoclonal band status in Scandinavian multiple sclerosis patients is associated with specific genetic risk alleles.		n	n	"1,367 European ancestry OCB positive cases, 161 European ancestry OCB negative cases"	"3,029 European ancestry OCB positive cases, 374 European ancestry OCB negative cases"	"Illumina [495,970]"	European	4931	1528	1528												3403	3403																					
23474282	Kabakchiev	23474282	GRASP 2.0		86598	1	Gene expression in intestine	Quantitative trait(s);Gene expression (RNA);Gastrointestinal	3/6/13	n	Gastroenterology	Expression quantitative trait loci analysis identifies associations between genotype and gene expression in human intestine.		n	n	173 individuals	NR	"Illumina [581,633]"	Mixed	173	173	153	2	18																																
23474815	Stambolian	23474815	GRASP 2.0		129552		Refractive errors	Eye-related;Developmental	3/27/13	y	Hum Mol Genet	"Meta-analysis of genome-wide association studies in five cohorts reveals common variants in RBFOX1, a regulator of tissue-specific splicing, associated with refractive error."		n	n	"6,597 European ancestry individuals, 683 Sardinian inidividuals"	"19,763 European ancestry individuals"	"Illumina & Affymetrix [2,093,862] (imputed)"	European	27043	7280	7280												19763	19763																					
23477746	Feitosa	23477746	GRASP 2.0		127		Fatty liver and alanine aminotransferase levels (ALT)	Quantitative trait(s);Hepatic;Inflammation	2/18/13	n	Atherosclerosis	The ERLIN1-CHUK-CWF19L1 gene cluster influences liver fat deposition and hepatic inflammation in the NHLBI Family Heart Study.		n	n	2597 individuals in extended families	NR	Illumina & imputed [~2.5 million]	European	2597	2597	2597																																		
23478400	Montgomery	23478400	GRASP 2.0	1	0	1	Gene expression in blood cell lines (indel eQTLs)	Quantitative trait(s);Gene expression (RNA);Blood-related;Cell line	3/11/13	n	Genome Res	"The origin, evolution, and functional impact of short insertion-deletion variants identified in 179 human genomes."		n	n	58 European ancestry (HapMap)	NR	HapMap [not listed]	European	58	58	58																																		
23478653	Han	23478653	GRASP 2.0		44		"Lung cancer, survival in small cell lung cancer treated with irinitecan and cisplatin"	Cancer;Lung cancer;Pulmonary;Mortality;Drug response	3/12/13	y	Pharmacogenomics J	A genome-wide association study of survival in small-cell lung cancer patients treated with irinotecan plus cisplatin chemotherapy.		n	n	139 individuals	NR	"Affymetrix [334,127]"	Asian	139	139			139																																
